value,quality,type,time(msec)
0,28,0,670
20,28,1,670
2615,0,5,670
31,0,2,670
0,34,0,920
20,34,1,920
45,1,3,960
100,1,4,960
0,34,0,1170
20,34,1,1170
0,34,0,1420
20,34,1,1420
0,34,0,1670
20,34,1,1670
45,1,3,1856
100,1,4,1856
0,30,0,1920
20,30,1,1920
0,30,0,2170
20,30,1,2170
0,30,0,2420
20,30,1,2420
0,30,0,2670
20,30,1,2670
2614,0,5,2670
31,0,2,2670
45,1,3,2700
100,1,4,2700
0,30,0,2920
20,30,1,2920
0,36,0,3170
20,36,1,3170
0,36,0,3420
20,36,1,3420
0,36,0,3670
20,36,1,3670
0,36,0,3920
20,36,1,3920
45,1,3,3985
100,1,4,3985
0,36,0,4170
20,36,1,4170
0,38,0,4420
20,38,1,4420
0,38,0,4670
20,38,1,4670
2614,0,5,4670
31,0,2,4670
45,1,3,4754
100,1,4,4754
0,38,0,4920
20,38,1,4920
0,38,0,5170
20,38,1,5170
0,38,0,5420
20,38,1,5420
0,36,0,5670
20,36,1,5670
45,1,3,5766
100,1,4,5766
0,36,0,5920
20,36,1,5920
0,36,0,6170
20,36,1,6170
0,36,0,6420
20,36,1,6420
0,36,0,6670
20,36,1,6670
2614,0,5,6670
31,0,2,6670
0,43,0,6920
20,43,1,6920
45,1,3,6957
100,1,4,6957
0,43,0,7170
20,43,1,7170
0,43,0,7420
20,43,1,7420
0,43,0,7670
20,43,1,7670
0,38,0,7920
20,38,1,7920
46,1,3,7924
100,1,4,7924
0,38,0,8170
20,38,1,8170
0,38,0,8420
20,38,1,8420
0,38,0,8670
20,38,1,8670
2614,0,5,8670
31,0,2,8670
46,1,3,8702
100,1,4,8702
0,38,0,8920
20,38,1,8920
0,41,0,9170
20,41,1,9170
0,41,0,9420
20,41,1,9420
0,41,0,9670
20,41,1,9670
0,41,0,9920
20,41,1,9920
46,1,3,9956
100,1,4,9956
0,41,0,10170
20,41,1,10170
0,40,0,10420
20,40,1,10420
0,40,0,10670
20,40,1,10670
2614,0,5,10670
31,0,2,10670
0,40,0,10920
20,40,1,10920
46,1,3,10959
100,1,4,10959
0,40,0,11170
20,40,1,11170
0,40,0,11420
20,40,1,11420
46,1,3,11498
100,1,4,11498
0,39,0,11670
20,39,1,11670
0,39,0,11920
20,39,1,11920
0,39,0,12170
20,39,1,12170
0,39,0,12420
20,39,1,12420
0,39,0,12670
20,39,1,12670
2613,0,5,12670
31,0,2,12670
0,31,0,12920
20,31,1,12920
46,1,3,12990
100,1,4,12990
0,31,0,13170
20,31,1,13170
0,31,0,13420
20,31,1,13420
0,31,0,13670
20,31,1,13670
0,34,0,13920
20,34,1,13920
0,34,0,14170
20,34,1,14170
47,1,3,14209
100,1,4,14209
0,34,0,14420
20,34,1,14420
0,34,0,14670
20,34,1,14670
2614,0,5,14670
31,0,2,14670
0,34,0,14920
20,34,1,14920
47,129,3,15117
100,129,4,15117
0,32,0,15170
20,32,1,15170
0,32,0,15420
20,32,1,15420
0,32,0,15670
20,32,1,15670
0,32,0,15920
20,32,1,15920
47,1,3,16038
100,1,4,16038
0,32,0,16170
20,32,1,16170
0,34,0,16420
20,34,1,16420
